Metric,Store,Month-Year,FY,Amount (in lakhs)
Gross Sales,EGL,April 2021,FY22,
GST,EGL,April 2021,FY22,0.0
Net Sales,EGL,April 2021,FY22,0.0
COGS (food +packaging),EGL,April 2021,FY22,0.0
store Labor Cost,EGL,April 2021,FY22,0.0
Utility Cost,EGL,April 2021,FY22,0.0
Rent,EGL,April 2021,FY22,
CAM,EGL,April 2021,FY22,
Aggregator commission,EGL,April 2021,FY22,
Marketing & advertisement,EGL,April 2021,FY22,
Gross Sales,ITPL,April 2021,FY22,7.12
GST,ITPL,April 2021,FY22,0.34
Net Sales,ITPL,April 2021,FY22,6.78
COGS (food +packaging),ITPL,April 2021,FY22,2.67
store Labor Cost,ITPL,April 2021,FY22,1.26
Utility Cost,ITPL,April 2021,FY22,0.57
Rent,ITPL,April 2021,FY22,1.04
CAM,ITPL,April 2021,FY22,0.0
Aggregator commission,ITPL,April 2021,FY22,1.19
Marketing & advertisement,ITPL,April 2021,FY22,0.16
Gross Sales,RMZ,April 2021,FY22,
GST,RMZ,April 2021,FY22,0.0
Net Sales,RMZ,April 2021,FY22,0.0
COGS (food +packaging),RMZ,April 2021,FY22,-0.0
store Labor Cost,RMZ,April 2021,FY22,0.0
Utility Cost,RMZ,April 2021,FY22,0.1
Rent,RMZ,April 2021,FY22,0.0
CAM,RMZ,April 2021,FY22,0.13
Aggregator commission,RMZ,April 2021,FY22,
Marketing & advertisement,RMZ,April 2021,FY22,
Gross Sales,KOR,April 2021,FY22,9.73
GST,KOR,April 2021,FY22,0.46
Net Sales,KOR,April 2021,FY22,9.27
COGS (food +packaging),KOR,April 2021,FY22,3.37
store Labor Cost,KOR,April 2021,FY22,1.83
Utility Cost,KOR,April 2021,FY22,0.85
Rent,KOR,April 2021,FY22,0.71
CAM,KOR,April 2021,FY22,
Aggregator commission,KOR,April 2021,FY22,1.71
Marketing & advertisement,KOR,April 2021,FY22,0.3
Gross Sales,INB,April 2021,FY22,12.03
GST,INB,April 2021,FY22,0.57
Net Sales,INB,April 2021,FY22,11.46
COGS (food +packaging),INB,April 2021,FY22,4.66
store Labor Cost,INB,April 2021,FY22,1.89
Utility Cost,INB,April 2021,FY22,0.48
Rent,INB,April 2021,FY22,0.89
CAM,INB,April 2021,FY22,0.16
Aggregator commission,INB,April 2021,FY22,2.29
Marketing & advertisement,INB,April 2021,FY22,0.41
Gross Sales,DIV,April 2021,FY22,18.7
GST,DIV,April 2021,FY22,0.89
Net Sales,DIV,April 2021,FY22,17.81
COGS (food +packaging),DIV,April 2021,FY22,6.82
store Labor Cost,DIV,April 2021,FY22,2.13
Utility Cost,DIV,April 2021,FY22,1.3
Rent,DIV,April 2021,FY22,0.51
CAM,DIV,April 2021,FY22,0.14
Aggregator commission,DIV,April 2021,FY22,3.68
Marketing & advertisement,DIV,April 2021,FY22,0.43
Gross Sales,IND,April 2021,FY22,21.15
GST,IND,April 2021,FY22,1.01
Net Sales,IND,April 2021,FY22,20.14
COGS (food +packaging),IND,April 2021,FY22,8.16
store Labor Cost,IND,April 2021,FY22,2.81
Utility Cost,IND,April 2021,FY22,1.16
Rent,IND,April 2021,FY22,1.1
CAM,IND,April 2021,FY22,0.0
Aggregator commission,IND,April 2021,FY22,3.93
Marketing & advertisement,IND,April 2021,FY22,0.63
Gross Sales,BAG,April 2021,FY22,
GST,BAG,April 2021,FY22,0.0
Net Sales,BAG,April 2021,FY22,0.0
COGS (food +packaging),BAG,April 2021,FY22,0.0
store Labor Cost,BAG,April 2021,FY22,0.0
Utility Cost,BAG,April 2021,FY22,0.0
Rent,BAG,April 2021,FY22,0.0
CAM,BAG,April 2021,FY22,
Aggregator commission,BAG,April 2021,FY22,
Marketing & advertisement,BAG,April 2021,FY22,
Gross Sales,DLF,April 2021,FY22,
GST,DLF,April 2021,FY22,0.0
Net Sales,DLF,April 2021,FY22,0.0
COGS (food +packaging),DLF,April 2021,FY22,0.0
store Labor Cost,DLF,April 2021,FY22,0.0
Utility Cost,DLF,April 2021,FY22,0.0
Rent,DLF,April 2021,FY22,
CAM,DLF,April 2021,FY22,0.0
Aggregator commission,DLF,April 2021,FY22,
Marketing & advertisement,DLF,April 2021,FY22,
Gross Sales,MAN,April 2021,FY22,7.63
GST,MAN,April 2021,FY22,0.36
Net Sales,MAN,April 2021,FY22,7.26
COGS (food +packaging),MAN,April 2021,FY22,3.58
store Labor Cost,MAN,April 2021,FY22,0.91
Utility Cost,MAN,April 2021,FY22,0.75
Rent,MAN,April 2021,FY22,1.78
CAM,MAN,April 2021,FY22,
Aggregator commission,MAN,April 2021,FY22,0.96
Marketing & advertisement,MAN,April 2021,FY22,0.33
Gross Sales,MTP,April 2021,FY22,
GST,MTP,April 2021,FY22,0.0
Net Sales,MTP,April 2021,FY22,0.0
COGS (food +packaging),MTP,April 2021,FY22,0.0
store Labor Cost,MTP,April 2021,FY22,0.0
Utility Cost,MTP,April 2021,FY22,0.0
Rent,MTP,April 2021,FY22,
CAM,MTP,April 2021,FY22,0.0
Aggregator commission,MTP,April 2021,FY22,
Marketing & advertisement,MTP,April 2021,FY22,
Gross Sales,ETV,April 2021,FY22,
GST,ETV,April 2021,FY22,0.0
Net Sales,ETV,April 2021,FY22,0.0
COGS (food +packaging),ETV,April 2021,FY22,0.0
store Labor Cost,ETV,April 2021,FY22,0.0
Utility Cost,ETV,April 2021,FY22,0.04
Rent,ETV,April 2021,FY22,0.0
CAM,ETV,April 2021,FY22,0.0
Aggregator commission,ETV,April 2021,FY22,
Marketing & advertisement,ETV,April 2021,FY22,
Gross Sales,VIR,April 2021,FY22,
GST,VIR,April 2021,FY22,0.0
Net Sales,VIR,April 2021,FY22,0.0
COGS (food +packaging),VIR,April 2021,FY22,0.0
store Labor Cost,VIR,April 2021,FY22,0.0
Utility Cost,VIR,April 2021,FY22,0.0
Rent,VIR,April 2021,FY22,
CAM,VIR,April 2021,FY22,
Aggregator commission,VIR,April 2021,FY22,
Marketing & advertisement,VIR,April 2021,FY22,
Gross Sales,ARK,April 2021,FY22,15.83
GST,ARK,April 2021,FY22,0.75
Net Sales,ARK,April 2021,FY22,15.07
COGS (food +packaging),ARK,April 2021,FY22,5.77
store Labor Cost,ARK,April 2021,FY22,2.15
Utility Cost,ARK,April 2021,FY22,1.18
Rent,ARK,April 2021,FY22,1.32
CAM,ARK,April 2021,FY22,0.0
Aggregator commission,ARK,April 2021,FY22,2.86
Marketing & advertisement,ARK,April 2021,FY22,0.48
Gross Sales,SIG,April 2021,FY22,7.37
GST,SIG,April 2021,FY22,0.35
Net Sales,SIG,April 2021,FY22,7.02
COGS (food +packaging),SIG,April 2021,FY22,2.5
store Labor Cost,SIG,April 2021,FY22,1.69
Utility Cost,SIG,April 2021,FY22,0.81
Rent,SIG,April 2021,FY22,1.07
CAM,SIG,April 2021,FY22,0.09
Aggregator commission,SIG,April 2021,FY22,1.16
Marketing & advertisement,SIG,April 2021,FY22,0.24
Gross Sales,HSR,April 2021,FY22,21.78
GST,HSR,April 2021,FY22,1.04
Net Sales,HSR,April 2021,FY22,20.75
COGS (food +packaging),HSR,April 2021,FY22,7.67
store Labor Cost,HSR,April 2021,FY22,2.53
Utility Cost,HSR,April 2021,FY22,1.13
Rent,HSR,April 2021,FY22,1.37
CAM,HSR,April 2021,FY22,0.0
Aggregator commission,HSR,April 2021,FY22,3.98
Marketing & advertisement,HSR,April 2021,FY22,0.41
Gross Sales,CVR,April 2021,FY22,
GST,CVR,April 2021,FY22,0.0
Net Sales,CVR,April 2021,FY22,0.0
COGS (food +packaging),CVR,April 2021,FY22,0.0
store Labor Cost,CVR,April 2021,FY22,0.0
Utility Cost,CVR,April 2021,FY22,0.0
Rent,CVR,April 2021,FY22,0.0
CAM,CVR,April 2021,FY22,
Aggregator commission,CVR,April 2021,FY22,
Marketing & advertisement,CVR,April 2021,FY22,
Gross Sales,SJP,April 2021,FY22,23.98
GST,SJP,April 2021,FY22,1.14
Net Sales,SJP,April 2021,FY22,22.84
COGS (food +packaging),SJP,April 2021,FY22,8.08
store Labor Cost,SJP,April 2021,FY22,2.74
Utility Cost,SJP,April 2021,FY22,1.2
Rent,SJP,April 2021,FY22,1.48
CAM,SJP,April 2021,FY22,0.0
Aggregator commission,SJP,April 2021,FY22,4.37
Marketing & advertisement,SJP,April 2021,FY22,0.39
Gross Sales,ORW,April 2021,FY22,10.58
GST,ORW,April 2021,FY22,0.5
Net Sales,ORW,April 2021,FY22,10.08
COGS (food +packaging),ORW,April 2021,FY22,3.7
store Labor Cost,ORW,April 2021,FY22,1.81
Utility Cost,ORW,April 2021,FY22,0.73
Rent,ORW,April 2021,FY22,1.68
CAM,ORW,April 2021,FY22,0.41
Aggregator commission,ORW,April 2021,FY22,1.38
Marketing & advertisement,ORW,April 2021,FY22,0.28
Gross Sales,EST,April 2021,FY22,12.2
GST,EST,April 2021,FY22,0.58
Net Sales,EST,April 2021,FY22,11.62
COGS (food +packaging),EST,April 2021,FY22,3.9
store Labor Cost,EST,April 2021,FY22,1.91
Utility Cost,EST,April 2021,FY22,0.96
Rent,EST,April 2021,FY22,0.71
CAM,EST,April 2021,FY22,0.16
Aggregator commission,EST,April 2021,FY22,2.15
Marketing & advertisement,EST,April 2021,FY22,0.26
Gross Sales,ORE,April 2021,FY22,8.58
GST,ORE,April 2021,FY22,0.41
Net Sales,ORE,April 2021,FY22,8.17
COGS (food +packaging),ORE,April 2021,FY22,3.23
store Labor Cost,ORE,April 2021,FY22,1.64
Utility Cost,ORE,April 2021,FY22,0.45
Rent,ORE,April 2021,FY22,0.69
CAM,ORE,April 2021,FY22,0.28
Aggregator commission,ORE,April 2021,FY22,1.56
Marketing & advertisement,ORE,April 2021,FY22,0.29
Gross Sales,AUR,April 2021,FY22,
GST,AUR,April 2021,FY22,0.0
Net Sales,AUR,April 2021,FY22,0.0
