Month,Store,Metric,Amount
Apr 2021,ITPL,Gross Sales,7.12
Apr 2021,KOR,Gross Sales,9.73
Apr 2021,INB,Gross Sales,12.03
Apr 2021,DIV,Gross Sales,18.7
Apr 2021,IND,Gross Sales,21.15
Apr 2021,MAN,Gross Sales,7.63
Apr 2021,ARK,Gross Sales,15.83
Apr 2021,SIG,Gross Sales,7.37
Apr 2021,HSR,Gross Sales,21.78
Apr 2021,SJP,Gross Sales,23.98
Apr 2021,ORW,Gross Sales,10.58
Apr 2021,EST,Gross Sales,12.2
Apr 2021,ORE,Gross Sales,8.58
Apr 2021,JPN,Gross Sales,21.72
Apr 2021,SYH,Gross Sales,17.09
Apr 2021,CTS,Gross Sales,0.0
Apr 2021,VBP,Gross Sales,14.31
Apr 2021,SKC,Gross Sales,7.31
Apr 2021,IHY,Gross Sales,13.91
Apr 2021,HAA,Gross Sales,6.57
Apr 2021,SCH,Gross Sales,4.17
Apr 2021,EGL,GST,0.0
Apr 2021,ITPL,GST,0.34
Apr 2021,RMZ,GST,0.0
Apr 2021,KOR,GST,0.46
Apr 2021,INB,GST,0.57
Apr 2021,DIV,GST,0.89
Apr 2021,IND,GST,1.01
Apr 2021,BAG,GST,0.0
Apr 2021,DLF,GST,0.0
Apr 2021,MAN,GST,0.36
Apr 2021,MTP,GST,0.0
Apr 2021,ETV,GST,0.0
Apr 2021,VIR,GST,0.0
Apr 2021,ARK,GST,0.75
Apr 2021,SIG,GST,0.35
Apr 2021,HSR,GST,1.04
Apr 2021,CVR,GST,0.0
Apr 2021,SJP,GST,1.14
Apr 2021,ORW,GST,0.5
Apr 2021,EST,GST,0.58
Apr 2021,ORE,GST,0.41
Apr 2021,AUR,GST,0.0
Apr 2021,JPN,GST,1.03
Apr 2021,JPC,GST,0.0
Apr 2021,PTP,GST,0.0
Apr 2021,SEC,GST,0.0
Apr 2021,SYH,GST,0.81
Apr 2021,ETF,GST,0.0
Apr 2021,GSC,GST,0.0
Apr 2021,PRI,GST,0.0
Apr 2021,ECN,GST,0.0
Apr 2021,RGA,GST,0.0
Apr 2021,MIL,GST,0.0
Apr 2021,CTS,GST,0.0
Apr 2021,VBP,GST,0.68
Apr 2021,SKC,GST,0.35
Apr 2021,IHY,GST,0.66
Apr 2021,DCH,GST,0.0
Apr 2021,HAA,GST,0.31
Apr 2021,SCH,GST,0.2
Apr 2021,EGL,Net Sales,0.0
Apr 2021,ITPL,Net Sales,6.78
Apr 2021,RMZ,Net Sales,0.0
Apr 2021,KOR,Net Sales,9.27
Apr 2021,INB,Net Sales,11.46
Apr 2021,DIV,Net Sales,17.81
Apr 2021,IND,Net Sales,20.14
Apr 2021,BAG,Net Sales,0.0
Apr 2021,DLF,Net Sales,0.0
Apr 2021,MAN,Net Sales,7.26
Apr 2021,MTP,Net Sales,0.0
Apr 2021,ETV,Net Sales,0.0
Apr 2021,VIR,Net Sales,0.0
Apr 2021,ARK,Net Sales,15.07
Apr 2021,SIG,Net Sales,7.02
Apr 2021,HSR,Net Sales,20.75
Apr 2021,CVR,Net Sales,0.0
Apr 2021,SJP,Net Sales,22.84
Apr 2021,ORW,Net Sales,10.08
Apr 2021,EST,Net Sales,11.62
Apr 2021,ORE,Net Sales,8.17
Apr 2021,AUR,Net Sales,0.0
Apr 2021,JPN,Net Sales,20.69
Apr 2021,JPC,Net Sales,0.0
Apr 2021,PTP,Net Sales,0.0
Apr 2021,SEC,Net Sales,0.0
Apr 2021,SYH,Net Sales,16.28
Apr 2021,ETF,Net Sales,0.0
Apr 2021,GSC,Net Sales,0.0
Apr 2021,PRI,Net Sales,0.0
Apr 2021,ECN,Net Sales,0.0
Apr 2021,RGA,Net Sales,0.0
Apr 2021,MIL,Net Sales,0.0
Apr 2021,CTS,Net Sales,0.0
Apr 2021,VBP,Net Sales,13.63
Apr 2021,SKC,Net Sales,6.97
Apr 2021,IHY,Net Sales,13.25
Apr 2021,DCH,Net Sales,0.0
Apr 2021,HAA,Net Sales,6.26
Apr 2021,SCH,Net Sales,3.97
Apr 2021,EGL,COGS (food +packaging),0.0
Apr 2021,ITPL,COGS (food +packaging),2.67
Apr 2021,RMZ,COGS (food +packaging),-0.0
Apr 2021,KOR,COGS (food +packaging),3.37
Apr 2021,INB,COGS (food +packaging),4.66
Apr 2021,DIV,COGS (food +packaging),6.82
Apr 2021,IND,COGS (food +packaging),8.16
Apr 2021,BAG,COGS (food +packaging),0.0
Apr 2021,DLF,COGS (food +packaging),0.0
Apr 2021,MAN,COGS (food +packaging),3.58
Apr 2021,MTP,COGS (food +packaging),0.0
Apr 2021,ETV,COGS (food +packaging),0.0
Apr 2021,VIR,COGS (food +packaging),0.0
Apr 2021,ARK,COGS (food +packaging),5.77
Apr 2021,SIG,COGS (food +packaging),2.5
Apr 2021,HSR,COGS (food +packaging),7.67
Apr 2021,CVR,COGS (food +packaging),0.0
Apr 2021,SJP,COGS (food +packaging),8.08
Apr 2021,ORW,COGS (food +packaging),3.7
Apr 2021,EST,COGS (food +packaging),3.9
Apr 2021,ORE,COGS (food +packaging),3.23
Apr 2021,AUR,COGS (food +packaging),0.0
Apr 2021,JPN,COGS (food +packaging),7.45
Apr 2021,JPC,COGS (food +packaging),0.0
Apr 2021,PTP,COGS (food +packaging),0.0
Apr 2021,SEC,COGS (food +packaging),0.0
Apr 2021,SYH,COGS (food +packaging),6.6
Apr 2021,ETF,COGS (food +packaging),0.0
Apr 2021,GSC,COGS (food +packaging),0.06
Apr 2021,PRI,COGS (food +packaging),0.0
Apr 2021,ECN,COGS (food +packaging),0.0
Apr 2021,RGA,COGS (food +packaging),0.0
Apr 2021,MIL,COGS (food +packaging),0.0
Apr 2021,CTS,COGS (food +packaging),0.0
Apr 2021,VBP,COGS (food +packaging),5.38
Apr 2021,SKC,COGS (food +packaging),3.36
Apr 2021,IHY,COGS (food +packaging),5.05
Apr 2021,DCH,COGS (food +packaging),0.0
Apr 2021,HAA,COGS (food +packaging),2.73
Apr 2021,SCH,COGS (food +packaging),1.62
Apr 2021,EGL,Gross margin,-0.0
Apr 2021,ITPL,Gross margin,4.11
Apr 2021,RMZ,Gross margin,0.0
Apr 2021,KOR,Gross margin,5.9
Apr 2021,INB,Gross margin,6.8
Apr 2021,DIV,Gross margin,10.99
Apr 2021,IND,Gross margin,11.98
Apr 2021,BAG,Gross margin,0.0
Apr 2021,DLF,Gross margin,0.0
Apr 2021,MAN,Gross margin,3.68
Apr 2021,MTP,Gross margin,-0.0
Apr 2021,ETV,Gross margin,0.0
Apr 2021,VIR,Gross margin,0.0
Apr 2021,ARK,Gross margin,9.3
Apr 2021,SIG,Gross margin,4.51
Apr 2021,HSR,Gross margin,13.08
