Month,FY,Store,Metric,Amount,AmountUnit
2021-Apr,FY 2021-22,ITPL,Gross Sales,7.12,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Gross Sales,9.73,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Gross Sales,12.03,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Gross Sales,18.7,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Gross Sales,21.15,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Gross Sales,7.63,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Gross Sales,15.83,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Gross Sales,7.37,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Gross Sales,21.78,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Gross Sales,23.98,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Gross Sales,10.58,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Gross Sales,12.2,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Gross Sales,8.58,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Gross Sales,21.72,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Gross Sales,17.09,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Gross Sales,14.31,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Gross Sales,7.31,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Gross Sales,13.91,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Gross Sales,6.57,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Gross Sales,4.17,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,GST,0.34,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,GST,0.46,Rs. Lakhs
2021-Apr,FY 2021-22,INB,GST,0.57,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,GST,0.89,Rs. Lakhs
2021-Apr,FY 2021-22,IND,GST,1.01,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,GST,0.36,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,GST,0.75,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,GST,0.35,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,GST,1.04,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,GST,1.14,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,GST,0.5,Rs. Lakhs
2021-Apr,FY 2021-22,EST,GST,0.58,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,GST,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,GST,1.03,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,GST,0.81,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,GST,0.68,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,GST,0.35,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,GST,0.66,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,GST,0.31,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,GST,0.2,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Net Sales,6.78,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Net Sales,9.27,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Net Sales,11.46,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Net Sales,17.81,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Net Sales,20.14,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Net Sales,7.26,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Net Sales,15.07,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Net Sales,7.02,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Net Sales,20.75,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Net Sales,22.84,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Net Sales,10.08,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Net Sales,11.62,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Net Sales,8.17,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Net Sales,20.69,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Net Sales,16.28,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Net Sales,13.63,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Net Sales,6.97,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Net Sales,13.25,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Net Sales,6.26,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Net Sales,3.97,Rs. Lakhs
2021-Apr,FY 2021-22,EGL,COGS (food +packaging),,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,COGS (food +packaging),2.67,Rs. Lakhs
2021-Apr,FY 2021-22,RMZ,COGS (food +packaging),,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,COGS (food +packaging),3.37,Rs. Lakhs
2021-Apr,FY 2021-22,INB,COGS (food +packaging),4.66,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,COGS (food +packaging),6.82,Rs. Lakhs
2021-Apr,FY 2021-22,IND,COGS (food +packaging),8.16,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,COGS (food +packaging),3.58,Rs. Lakhs
2021-Apr,FY 2021-22,MTP,COGS (food +packaging),,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,COGS (food +packaging),5.77,Rs. Lakhs
